learning_rate lambda_loss_amount clip_gradients accuracy_out best_accuracy f1_score_out best_f1_score
0.01 	0.005 	15.0 	0.826134 	0.830454 	0.747477753524 	0.762045102419

0.01 	0.0005 	15.0 	0.778618 	0.835853 	0.734210866566 	0.776644191047

0.007 	0.005 	15.0 	0.827214 	0.835853 	0.750010203421 	0.780515544092

0.007 	0.0005 	15.0 	0.828294 	0.846652 	0.780015394519 	0.791097300329

0.001 	0.005 	15.0 	0.829374 	0.87581 	0.816436072752 	0.860815051714

0.001 	0.0005 	15.0 	0.854212 	0.860691 	0.839451109727 	0.839451109727

0.0007 	0.005 	15.0 	0.834773 	0.87257 	0.836148391721 	0.863071980236

0.0007 	0.0005 	15.0 	0.865011 	0.867171 	0.860534790277 	0.863619660468

0.0001 	0.005 	15.0 	0.792657 	0.860691 	0.815703170262 	0.848130381772

0.0001 	0.0005 	15.0 	0.860691 	0.86825 	0.835936179123 	0.851528020003


0.0007 	0.0005 	5.0 	0.843412 	0.87365 	0.849197722307 	0.858549185171

0.0007 	0.0005 	10.0 	0.821814 	0.865011 	0.814876135952 	0.838967074952

______________________________________________________________________________________

learning_rate lambda_loss_amount keep_prob_for_dropout accuracy_out best_accuracy f1_score_out best_f1_score
0.0007 	0.0005 	0.3 	0.807775 	0.834773 	0.753505388383 	0.777519866332

0.0007 	0.0005 	0.5 	0.776458 	0.832613 	0.75858236466 	0.78501505806

0.0007 	0.0005 	0.8 	0.821814 	0.860691 	0.821944236431 	0.860033170936

0.0007 	0.0005 	0.95 	0.865011 	0.882289 	0.861559479921 	0.875207948767

